,trial,click_time,click_pos,clicked_stim,clicked_stim_pos,candidate_stims,target_stim,iteration
112,28,511.4177462000516,[-0.26736111 -0.325     ],10,1,"[24, 10, 1, 3]",25,-1
113,28,512.689660300035,[-0.44444444 -0.31180556],24,0,"[24, 10, 1, 3]",25,-1
114,28,515.0256769999978,[ 0.49513889 -0.325     ],3,1,"[24, 10, 1, 3]",25,-1
115,28,517.3057035000529,[ 0.27847222 -0.32361111],1,0,"[24, 10, 1, 3]",25,-1
116,29,526.5217455000384,[-0.40208333 -0.31319444],4,0,"[4, 18, 21, 7]",28,-1
117,29,532.161788300029,[-0.10625    -0.31944444],18,0,"[4, 18, 21, 7]",28,-1
118,29,532.8415850000456,[ 0.125      -0.32847222],21,0,"[4, 18, 21, 7]",28,-1
119,29,533.7776797999977,[ 0.51388889 -0.33958333],7,0,"[4, 18, 21, 7]",28,-1
120,30,538.4577911000233,[ 0.51597222 -0.34236111],19,3,"[7, 9, 20, 19]",11,0
121,30,539.3216955000535,[ 0.28194444 -0.34652778],20,2,"[7, 9, 20, 19]",11,0
122,30,544.6336864000186,[-0.39861111 -0.29027778],7,0,"[7, 9, 20, 19]",11,0
123,30,545.0015193000436,[-0.25416667 -0.29444444],9,0,"[7, 9, 20, 19]",11,0
124,31,557.0496338000521,[ 0.45208333 -0.32777778],18,3,"[1, 2, 17, 18]",15,0
125,31,561.6897819000296,[ 0.07777778 -0.31111111],17,2,"[1, 2, 17, 18]",15,0
126,31,563.0259860000224,[-0.43333333 -0.28819444],1,0,"[1, 2, 17, 18]",15,0
127,31,563.353454200027,[-0.23819444 -0.29722222],2,0,"[1, 2, 17, 18]",15,0
128,32,572.4097481000354,[-0.14652778 -0.33263889],21,1,"[1, 21, 27, 16]",29,0
129,32,579.113557100005,[ 0.52777778 -0.37152778],16,2,"[1, 21, 27, 16]",29,0
130,32,583.6815961000393,[-0.44236111 -0.28263889],1,0,"[1, 21, 27, 16]",29,0
131,32,584.1295536000398,[ 0.13958333 -0.32708333],27,0,"[1, 21, 27, 16]",29,0
132,33,590.009601400001,[-0.44375    -0.30972222],25,0,"[25, 14, 2, 26]",20,0
133,33,591.1215393000166,[-0.26180556 -0.30486111],14,0,"[25, 14, 2, 26]",20,0
134,33,596.1775595000363,[ 0.28194444 -0.35208333],2,0,"[25, 14, 2, 26]",20,0
135,33,596.5214562000474,[ 0.48680556 -0.35625   ],26,0,"[25, 14, 2, 26]",20,0
136,34,606.9856262000394,[-0.21875    -0.34097222],12,1,"[16, 12, 17, 21]",27,0
137,34,612.2177995000384,[ 0.18958333 -0.35902778],17,1,"[16, 12, 17, 21]",27,0
138,34,615.2095147000509,[ 0.56319444 -0.36597222],21,1,"[16, 12, 17, 21]",27,0
139,34,615.9774878000026,[-0.39861111 -0.34305556],16,0,"[16, 12, 17, 21]",27,0
140,35,628.2976914000465,[ 0.51875    -0.35763889],20,3,"[15, 27, 28, 20]",4,0
141,35,628.8735767000471,[-0.19027778 -0.33402778],27,1,"[15, 27, 28, 20]",4,0
142,35,629.2336059000227,[ 0.15486111 -0.34097222],28,1,"[15, 27, 28, 20]",4,0
143,35,630.0255087999976,[-0.58194444 -0.28819444],15,0,"[15, 27, 28, 20]",4,0
144,36,640.0737400000216,[ 0.45347222 -0.35625   ],0,3,"[11, 29, 17, 0]",7,0
145,36,644.6657263000379,[ 0.1625     -0.33888889],17,2,"[11, 29, 17, 0]",7,0
146,36,652.7615685000201,[-0.45763889 -0.31180556],11,0,"[11, 29, 17, 0]",7,0
147,36,653.1378467000322,[-0.20347222 -0.32638889],29,0,"[11, 29, 17, 0]",7,0
148,37,661.7537152000004,[ 0.14513889 -0.34791667],16,2,"[23, 25, 16, 28]",9,0
149,37,667.6576043000096,[-0.44305556 -0.31666667],23,0,"[23, 25, 16, 28]",9,0
150,37,676.7296706000343,[ 0.50138889 -0.35972222],28,1,"[23, 25, 16, 28]",9,0
151,37,677.2174514000071,[-0.13472222 -0.33402778],25,0,"[23, 25, 16, 28]",9,0
152,38,687.4897696000407,[-0.39375    -0.31319444],16,0,"[16, 2, 1, 29]",24,0
153,38,689.3536403000471,[ 0.48472222 -0.36319444],29,2,"[16, 2, 1, 29]",24,0
154,38,690.9615751000238,[-0.08541667 -0.34375   ],2,0,"[16, 2, 1, 29]",24,0
155,38,691.3134183000075,[ 0.15555556 -0.34375   ],1,0,"[16, 2, 1, 29]",24,0
156,39,704.1138044000254,[-0.11111111 -0.31944444],18,1,"[20, 18, 22, 4]",17,0
157,39,705.6016209000372,[ 0.09513889 -0.34236111],22,1,"[20, 18, 22, 4]",17,0
158,39,708.6737153000431,[-0.45625    -0.29305556],20,0,"[20, 18, 22, 4]",17,0
159,39,709.5774835000047,[ 0.43263889 -0.36041667],4,0,"[20, 18, 22, 4]",17,0
160,40,720.8416584000224,[-0.43402778 -0.30138889],26,0,"[26, 14, 5, 3]",6,0
161,40,723.0415814000298,[-0.08263889 -0.34722222],14,0,"[26, 14, 5, 3]",6,0
162,40,723.9295529000228,[ 0.54236111 -0.36458333],3,1,"[26, 14, 5, 3]",6,0
163,40,724.3934131000424,[ 0.27430556 -0.36666667],5,0,"[26, 14, 5, 3]",6,0
164,41,735.361614399997,[ 0.20347222 -0.34444444],25,2,"[23, 1, 25, 20]",8,0
165,41,738.4816074999981,[-0.26666667 -0.32847222],1,1,"[23, 1, 25, 20]",8,0
166,41,744.0576932000113,[-0.49305556 -0.31944444],23,0,"[23, 1, 25, 20]",8,0
167,41,744.6015270000207,[ 0.40069444 -0.34930556],20,0,"[23, 1, 25, 20]",8,0
168,42,755.8577641000156,[-0.13194444 -0.34722222],2,1,"[23, 2, 28, 4]",3,0
169,42,757.4976026000222,[ 0.44236111 -0.37013889],4,2,"[23, 2, 28, 4]",3,0
170,42,758.0494657000527,[ 0.13888889 -0.35555556],28,1,"[23, 2, 28, 4]",3,0
171,42,758.9775172000518,[-0.43402778 -0.3125    ],23,0,"[23, 2, 28, 4]",3,0
172,43,770.0175984000089,[ 0.43958333 -0.38263889],11,3,"[1, 20, 24, 11]",25,0
173,43,776.6415483000455,[ 0.07430556 -0.34305556],24,2,"[1, 20, 24, 11]",25,0
174,43,776.9774794999976,[-0.08541667 -0.3375    ],20,1,"[1, 20, 24, 11]",25,0
175,43,777.4654928000527,[-0.38680556 -0.32152778],1,0,"[1, 20, 24, 11]",25,0
176,44,785.2816662000259,[ 0.56180556 -0.37708333],15,3,"[20, 12, 2, 15]",0,0
177,44,786.0496039999998,[ 0.26666667 -0.35972222],2,2,"[20, 12, 2, 15]",0,0
178,44,788.7455834000139,[-0.44791667 -0.32777778],20,0,"[20, 12, 2, 15]",0,0
179,44,789.2494823000161,[-0.27361111 -0.33333333],12,0,"[20, 12, 2, 15]",0,0
180,45,800.561491600005,[ 0.58541667 -0.37638889],8,3,"[14, 17, 2, 8]",1,0
181,45,803.5456163000199,[-0.18263889 -0.34652778],17,1,"[14, 17, 2, 8]",1,0
182,45,804.3134697000496,[-0.45416667 -0.32013889],14,0,"[14, 17, 2, 8]",1,0
183,45,804.8414191000047,[ 0.11458333 -0.33125   ],2,0,"[14, 17, 2, 8]",1,0
184,46,816.2255238000071,[ 0.48958333 -0.38541667],18,3,"[20, 2, 10, 18]",21,0
185,46,817.5534654000076,[-0.48680556 -0.32569444],20,0,"[20, 2, 10, 18]",21,0
186,46,821.3535438000108,[ 0.10555556 -0.34236111],10,1,"[20, 2, 10, 18]",21,0
187,46,821.7694803000195,[-0.13402778 -0.33541667],2,0,"[20, 2, 10, 18]",21,0
188,47,829.8015505000367,[ 0.27847222 -0.35625   ],17,2,"[25, 2, 17, 8]",22,0
189,47,830.3215138000087,[ 0.42013889 -0.35902778],8,2,"[25, 2, 17, 8]",22,0
190,47,831.1694614000153,[-0.50763889 -0.29305556],25,0,"[25, 2, 17, 8]",22,0
191,47,831.6253992000129,[-0.23819444 -0.30625   ],2,0,"[25, 2, 17, 8]",22,0
192,48,840.0657787000528,[-0.25972222 -0.30555556],25,1,"[1, 25, 12, 18]",14,0
193,48,842.4256848000223,[ 0.42916667 -0.35902778],18,2,"[1, 25, 12, 18]",14,0
